Time,Packet ID,From Node,To Node,Port,Port Name,Payload
2026-03-14T18:01:25.375Z,2407496360,3562713424,2476372156,70,Traceroute,"route: 873538553 route: 479067255 route: 2718570312 snr_towards: -10 snr_towards: -4 snr_towards: -31 snr_towards: -8"
2026-03-14T18:01:26.634Z,3238016368,2476372156,3562713424,70,Traceroute,"route: 873538553 route: 479067255 route: 3538235450 route: 1705331413 snr_towards: -10 snr_towards: -4 snr_towards: 28 snr_towards: -28"
2026-03-14T18:01:30.943Z,3318438506,602477924,3562713424,70,Traceroute,"route: 144583722 route: 1179853932 snr_towards: -29 snr_towards: 38"
2026-03-14T18:01:38.878Z,1830255274,3562713424,4294967295,3,Position,"latitude_i: 374430866 longitude_i: -1221199376 altitude: 6617 time: 1773511298 location_source: LOC_INTERNAL timestamp: 1773511298 PDOP: 98 ground_speed: 84 ground_track: 15185000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:01:47.261Z,1279624875,3562713424,602477924,70,Traceroute,"route: 144583722 route: 1179853932 route: 2733326648 route: 272049934 route: 846610502 route: 2687837700 route: 2733208196 route: 1770298992 snr_towards: -29 snr_towards: 38 snr_towards: 43 snr_towards: 24 snr_towards: -26 snr_towards: 0 snr_towards: 5 snr_towards: -44"
2026-03-14T18:02:03.524Z,3318438507,602477924,3562713424,70,Traceroute,"route: 1179853932 snr_towards: 31"
2026-03-14T18:02:10.052Z,37729965,3562713424,4294967295,3,Position,"latitude_i: 374369611 longitude_i: -1221162453 altitude: 6684 time: 1773511329 location_source: LOC_INTERNAL timestamp: 1773511329 PDOP: 98 ground_speed: 89 ground_track: 15978000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:02:23.158Z,3322136238,3562713424,602477924,70,Traceroute,"route: 1179853932 route: 272049934 route: 1360126850 route: 2733236804 snr_towards: 31 snr_towards: 19 snr_towards: 0 snr_towards: 7 snr_towards: -40"
2026-03-14T18:02:41.104Z,829083312,3562713424,4294967295,3,Position,"latitude_i: 374306563 longitude_i: -1221124595 altitude: 6752 time: 1773511360 location_source: LOC_INTERNAL timestamp: 1773511360 PDOP: 98 ground_speed: 101 ground_track: 16160000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:03:11.991Z,3250437809,3562713424,4294967295,3,Position,"latitude_i: 374244626 longitude_i: -1221086740 altitude: 6812 time: 1773511391 location_source: LOC_INTERNAL timestamp: 1773511391 PDOP: 98 ground_speed: 89 ground_track: 15641000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:03:21.055Z,1830784154,2476372156,3562713424,70,Traceroute,"route: 873538553 route: 2881314839 route: 3280008468 route: 2687837892 route: 2687837700 route: 2733208196 snr_towards: -13 snr_towards: -52 snr_towards: -11 snr_towards: -50 snr_towards: 0 snr_towards: -7"
2026-03-14T18:03:22.156Z,2844304050,3562713424,2476372156,70,Traceroute,"route: 873538553 route: 2881314839 route: 3280008468 route: 2687837892 route: 917262690 route: 2733326740 snr_towards: -13 snr_towards: -52 snr_towards: -11 snr_towards: -50 snr_towards: -19 snr_towards: -45 snr_towards: -37"
2026-03-14T18:03:43.678Z,860627636,3562713424,4294967295,3,Position,"latitude_i: 374183950 longitude_i: -1221049790 altitude: 6882 time: 1773511422 location_source: LOC_INTERNAL timestamp: 1773511422 PDOP: 98 ground_speed: 80 ground_track: 15120000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:04:13.883Z,1380852405,3562713424,4294967295,3,Position,"latitude_i: 374125210 longitude_i: -1221012546 altitude: 6937 time: 1773511453 location_source: LOC_INTERNAL timestamp: 1773511453 PDOP: 98 ground_speed: 79 ground_track: 15104000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:04:17.816Z,2697413175,4194433947,3562713424,0,Unknown,"Did not decode"
2026-03-14T18:04:20.536Z,2697413176,4194433947,3562713424,70,Traceroute,"route: 4294967295 route: 1652206918 snr_towards: -128 snr_towards: -38"
2026-03-14T18:04:25.001Z,3559299766,3562713424,4194433947,70,Traceroute,"route: 4294967295 route: 1652206918 route: 1744292545 snr_towards: -128 snr_towards: -38 snr_towards: -1 snr_towards: -38"
2026-03-14T18:04:45.276Z,1719860920,3562713424,4294967295,3,Position,"latitude_i: 374069340 longitude_i: -1220976878 altitude: 7003 time: 1773511484 location_source: LOC_INTERNAL timestamp: 1773511484 PDOP: 98 ground_speed: 81 ground_track: 15133000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:05:16.234Z,3372363449,3562713424,4294967295,3,Position,"latitude_i: 374016865 longitude_i: -1220939266 altitude: 7062 time: 1773511515 location_source: LOC_INTERNAL timestamp: 1773511515 PDOP: 98 ground_speed: 86 ground_track: 15443000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:05:47.096Z,2799144634,3562713424,4294967295,3,Position,"latitude_i: 373965811 longitude_i: -1220898925 altitude: 7124 time: 1773511546 location_source: LOC_INTERNAL timestamp: 1773511546 PDOP: 98 ground_speed: 84 ground_track: 14121000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:06:18.078Z,4224993979,3562713424,4294967295,3,Position,"latitude_i: 373916231 longitude_i: -1220855951 altitude: 7183 time: 1773511577 location_source: LOC_INTERNAL timestamp: 1773511577 PDOP: 98 ground_speed: 89 ground_track: 13807000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:06:49.912Z,4293355196,3562713424,4294967295,3,Position,"latitude_i: 373868893 longitude_i: -1220813766 altitude: 7253 time: 1773511608 location_source: LOC_INTERNAL timestamp: 1773511608 PDOP: 98 ground_speed: 81 ground_track: 14346000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:07:19.822Z,3272762045,3562713424,4294967295,3,Position,"latitude_i: 373823071 longitude_i: -1220772960 altitude: 7319 time: 1773511639 location_source: LOC_INTERNAL timestamp: 1773511639 PDOP: 98 ground_speed: 79 ground_track: 14426000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:07:50.956Z,2683416254,3562713424,4294967295,3,Position,"latitude_i: 373780213 longitude_i: -1220735000 altitude: 7381 time: 1773511670 location_source: LOC_INTERNAL timestamp: 1773511670 PDOP: 98 ground_speed: 70 ground_track: 15337000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:08:24.324Z,1267209919,3562713424,4294967295,3,Position,"latitude_i: 373736620 longitude_i: -1220695296 altitude: 7452 time: 1773511702 location_source: LOC_INTERNAL timestamp: 1773511702 PDOP: 98 ground_speed: 64 ground_track: 15056000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:08:53.964Z,2264476352,3562713424,4294967295,3,Position,"latitude_i: 373693048 longitude_i: -1220657288 altitude: 7514 time: 1773511733 location_source: LOC_INTERNAL timestamp: 1773511733 PDOP: 98 ground_speed: 76 ground_track: 14839000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:09:25.049Z,2445979329,3562713424,4294967295,3,Position,"latitude_i: 373647993 longitude_i: -1220616395 altitude: 7586 time: 1773511764 location_source: LOC_INTERNAL timestamp: 1773511764 PDOP: 98 ground_speed: 87 ground_track: 14629000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:09:26.120Z,295569541,3723673045,3562713424,4,Node Info,"id: ""!ddf2bdd5"" long_name: ""Glen Arbor AC3T"" short_name: ""AC3T"" macaddr: ""\330:\335\362\275\325"" hw_model: PORTDUINO public_key: ""\362\266\000\264@CP\0168\036s\324O\302\317T\235\356\354#\216\n\3657\324_!WU\225\302M"" is_unmessagable: false"
2026-03-14T18:09:56.370Z,4034454210,3562713424,4294967295,3,Position,"latitude_i: 373600861 longitude_i: -1220574655 altitude: 7653 time: 1773511795 location_source: LOC_INTERNAL timestamp: 1773511795 PDOP: 98 ground_speed: 76 ground_track: 14984000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:10:28.308Z,952149699,3562713424,4294967295,3,Position,"latitude_i: 373551850 longitude_i: -1220531518 altitude: 7719 time: 1773511827 location_source: LOC_INTERNAL timestamp: 1773511827 PDOP: 98 ground_speed: 61 ground_track: 14891000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:10:58.824Z,2395853508,3562713424,4294967295,3,Position,"latitude_i: 373504038 longitude_i: -1220490180 altitude: 7788 time: 1773511858 location_source: LOC_INTERNAL timestamp: 1773511858 PDOP: 98 ground_speed: 74 ground_track: 13955000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:11:29.839Z,3017680581,3562713424,4294967295,3,Position,"latitude_i: 373456090 longitude_i: -1220450931 altitude: 7854 time: 1773511889 location_source: LOC_INTERNAL timestamp: 1773511889 PDOP: 98 ground_speed: 70 ground_track: 15771000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:12:00.949Z,1991358150,3562713424,4294967295,3,Position,"latitude_i: 373406033 longitude_i: -1220415058 altitude: 7924 time: 1773511920 location_source: LOC_INTERNAL timestamp: 1773511920 PDOP: 98 ground_speed: 70 ground_track: 16160000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:12:31.917Z,1500500679,3562713424,4294967295,3,Position,"latitude_i: 373353725 longitude_i: -1220381201 altitude: 7992 time: 1773511951 location_source: LOC_INTERNAL timestamp: 1773511951 PDOP: 98 ground_speed: 83 ground_track: 15546000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:13:03.660Z,324809416,3562713424,4294967295,3,Position,"latitude_i: 373299116 longitude_i: -1220349325 altitude: 8068 time: 1773511982 location_source: LOC_INTERNAL timestamp: 1773511982 PDOP: 98 ground_speed: 81 ground_track: 16173000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:13:33.872Z,3761123017,3562713424,4294967295,3,Position,"latitude_i: 373241733 longitude_i: -1220316981 altitude: 8147 time: 1773512013 location_source: LOC_INTERNAL timestamp: 1773512013 PDOP: 98 ground_speed: 92 ground_track: 16117000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:14:05.043Z,3608289994,3562713424,4294967295,3,Position,"latitude_i: 373182588 longitude_i: -1220285208 altitude: 8212 time: 1773512044 location_source: LOC_INTERNAL timestamp: 1773512044 PDOP: 98 ground_speed: 90 ground_track: 16630000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:14:35.461Z,1495159825,4201496508,3562713424,70,Traceroute,"route: 1360126850 snr_towards: -40"
2026-03-14T18:14:36.438Z,803371724,3562713424,4201496508,70,Traceroute,"route: 1360126850 route: 2733366252 snr_towards: -40 snr_towards: -57 snr_towards: -53"
2026-03-14T18:14:36.767Z,2736649931,3562713424,4294967295,3,Position,"latitude_i: 373121515 longitude_i: -1220254976 altitude: 8266 time: 1773512075 location_source: LOC_INTERNAL timestamp: 1773512075 PDOP: 98 ground_speed: 75 ground_track: 16523000 sats_in_view: 20 precision_bits: 32"
2026-03-14T18:15:07.113Z,341422798,3562713424,4294967295,3,Position,"latitude_i: 373059350 longitude_i: -1220227415 altitude: 8332 time: 1773512106 location_source: LOC_INTERNAL timestamp: 1773512106 PDOP: 98 ground_speed: 76 ground_track: 15993000 sats_in_view: 17 precision_bits: 32"
2026-03-14T18:15:37.713Z,1843446479,3562713424,4294967295,3,Position,"latitude_i: 373000433 longitude_i: -1220200206 altitude: 8394 time: 1773512137 location_source: LOC_INTERNAL timestamp: 1773512137 PDOP: 98 ground_speed: 78 ground_track: 15772000 sats_in_view: 17 precision_bits: 32"
2026-03-14T18:16:09.034Z,2247194320,3562713424,4294967295,3,Position,"latitude_i: 372941413 longitude_i: -1220172148 altitude: 8462 time: 1773512168 location_source: LOC_INTERNAL timestamp: 1773512168 PDOP: 98 ground_speed: 72 ground_track: 16796000 sats_in_view: 17 precision_bits: 32"
